Source Name	Material Type	Term Source REF	Characteristics[OrganismPart]	Term Source REF	Characteristics[Organism]	Characteristics[DiseaseState]	Term Source REF	Characteristics[ClinicalInformation]	Characteristics[BioSourceProvider]	Description	Protocol REF	Sample Name	Material Type	Term Source REF	Protocol REF	Protocol REF	Extract Name	Material Type	Term Source REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[DISEASESTATE]	Term Source REF	Factor Value[CELLLINE]	Factor Value[CLINICALINFORMATION]	Factor Value[BIOSOURCEPROVIDER]	Factor Value[ORGANISMPART]	Term Source REF
NALM1 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 131	P-MTAB-1063	NALM1 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NALM1-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 494.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 494	A-AFFY-44	P-MTAB-1068	NALM-1_SS335917_HG-U133_Plus_2_HCHP-209566_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NALM-1_SS335917_HG-U133_Plus_2_HCHP-209566_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	NALM1	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
NALM1 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 131	P-MTAB-1063	NALM1 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NALM1-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 495.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 495	A-AFFY-44	P-MTAB-1068	NALM-1_SS335918_HG-U133_Plus_2_HCHP-209567_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NALM-1_SS335918_HG-U133_Plus_2_HCHP-209567_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	NALM1	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
NALM1 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 131	P-MTAB-1063	NALM1 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NALM1-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 496.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 496	A-AFFY-44	P-MTAB-1068	NALM-1_SS335919_HG-U133_Plus_2_HCHP-209568_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NALM-1_SS335919_HG-U133_Plus_2_HCHP-209568_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	NALM1	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
NALM6 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Acute Lymphoblastic Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 128	P-MTAB-1063	NALM6 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NALM6-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 497.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 497	A-AFFY-44	P-MTAB-1068	NALM-6 _SS392685_HG-U133_Plus_2_HCHP-186939_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NALM-6 _SS392685_HG-U133_Plus_2_HCHP-186939_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Acute Lymphoblastic Leukemia	NCI Thesaurus	NALM6	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
NALM6 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Acute Lymphoblastic Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 128	P-MTAB-1063	NALM6 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NALM6-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 498.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 498	A-AFFY-44	P-MTAB-1068	NALM-6 _SS392686_HG-U133_Plus_2_HCHP-186940_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NALM-6 _SS392686_HG-U133_Plus_2_HCHP-186940_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Acute Lymphoblastic Leukemia	NCI Thesaurus	NALM6	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
NALM6 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Acute Lymphoblastic Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 128	P-MTAB-1063	NALM6 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NALM6-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 499.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 499	A-AFFY-44	P-MTAB-1068	NALM-6 _SS392687_HG-U133_Plus_2_HCHP-186941_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NALM-6 _SS392687_HG-U133_Plus_2_HCHP-186941_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Acute Lymphoblastic Leukemia	NCI Thesaurus	NALM6	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
NAMALWA - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-1432	P-MTAB-1063	NAMALWA - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NAMALWA-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 500.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 500	A-AFFY-44	P-MTAB-1068	NAMALWA _SS392805_HG-U133_Plus_2_HCHP-186882_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NAMALWA _SS392805_HG-U133_Plus_2_HCHP-186882_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Burkitt Lymphoma	NCI Thesaurus	NAMALWA	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
NAMALWA - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-1432	P-MTAB-1063	NAMALWA - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NAMALWA-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 501.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 501	A-AFFY-44	P-MTAB-1068	NAMALWA _SS392806_HG-U133_Plus_2_HCHP-186883_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NAMALWA _SS392806_HG-U133_Plus_2_HCHP-186883_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Burkitt Lymphoma	NCI Thesaurus	NAMALWA	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
NAMALWA - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-1432	P-MTAB-1063	NAMALWA - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NAMALWA-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 502.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 502	A-AFFY-44	P-MTAB-1068	NAMALWA _SS392807_HG-U133_Plus_2_HCHP-186884_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NAMALWA _SS392807_HG-U133_Plus_2_HCHP-186884_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Burkitt Lymphoma	NCI Thesaurus	NAMALWA	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
NC37 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-214	P-MTAB-1063	NC37 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NC37-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 503.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 503	A-AFFY-44	P-MTAB-1068	NC-37 _SS392761_HG-U133_Plus_2_HCHP-209506_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NC-37 _SS392761_HG-U133_Plus_2_HCHP-209506_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Burkitt Lymphoma	NCI Thesaurus	NC37	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
NC37 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-214	P-MTAB-1063	NC37 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NC37-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 504.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 504	A-AFFY-44	P-MTAB-1068	NC-37 _SS392762_HG-U133_Plus_2_HCHP-209507_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NC-37 _SS392762_HG-U133_Plus_2_HCHP-209507_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Burkitt Lymphoma	NCI Thesaurus	NC37	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
NC37 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-214	P-MTAB-1063	NC37 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NC37-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 505.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 505	A-AFFY-44	P-MTAB-1068	NC-37 _SS392763_HG-U133_Plus_2_HCHP-209508_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NC-37 _SS392763_HG-U133_Plus_2_HCHP-209508_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Burkitt Lymphoma	NCI Thesaurus	NC37	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
NCIH1651 - Replicate 1	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Lung Adenocarcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5884	P-MTAB-1063	NCIH1651 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1651-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 506.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 506	A-AFFY-44	P-MTAB-1068	NCH-I-H1651_SS474841_HG-U133_Plus_2_HCHP-225957_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCH-I-H1651_SS474841_HG-U133_Plus_2_HCHP-225957_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Lung Adenocarcinoma	NCI Thesaurus	NCIH1651	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1651 - Replicate 2	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Lung Adenocarcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5884	P-MTAB-1063	NCIH1651 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1651-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 507.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 507	A-AFFY-44	P-MTAB-1068	NCH-I-H1651_SS474842_HG-U133_Plus_2_HCHP-225958_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCH-I-H1651_SS474842_HG-U133_Plus_2_HCHP-225958_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Lung Adenocarcinoma	NCI Thesaurus	NCIH1651	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1651 - Replicate 3	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Lung Adenocarcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5884	P-MTAB-1063	NCIH1651 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1651-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 508.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 508	A-AFFY-44	P-MTAB-1068	NCH-I-H1651_SS474843_HG-U133_Plus_2_HCHP-225959_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCH-I-H1651_SS474843_HG-U133_Plus_2_HCHP-225959_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Lung Adenocarcinoma	NCI Thesaurus	NCIH1651	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1155 - Replicate 3	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5818	P-MTAB-1063	NCIH1155 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1155-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 509.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 509	A-AFFY-44	P-MTAB-1068	NCI_H1155_SS125543_HG-U133_Plus_2_HCHP-95914_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI_H1155_SS125543_HG-U133_Plus_2_HCHP-95914_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Lung Carcinoma	NCI Thesaurus	NCIH1155	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1155 - Replicate 2	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5818	P-MTAB-1063	NCIH1155 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1155-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 510.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 510	A-AFFY-44	P-MTAB-1068	NCI_H1155_SS125544_HG-U133_Plus_2_HCHP-95915_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI_H1155_SS125544_HG-U133_Plus_2_HCHP-95915_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Lung Carcinoma	NCI Thesaurus	NCIH1155	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1155 - Replicate 1	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5818	P-MTAB-1063	NCIH1155 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1155-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 511.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 511	A-AFFY-44	P-MTAB-1068	NCI_H1155_SS125545_HG-U133_Plus_2_HCHP-95916_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI_H1155_SS125545_HG-U133_Plus_2_HCHP-95916_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Lung Carcinoma	NCI Thesaurus	NCIH1155	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1048 - Replicate 1	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Myeloid Leukemia	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5853	P-MTAB-1063	NCIH1048 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1048-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 512.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 512	A-AFFY-44	P-MTAB-1068	NCI-H1048_SS474805_HG-U133_Plus_2_HCHP-225915_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI-H1048_SS474805_HG-U133_Plus_2_HCHP-225915_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Myeloid Leukemia	NCI Thesaurus	NCIH1048	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1048 - Replicate 3	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Myeloid Leukemia	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5853	P-MTAB-1063	NCIH1048 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1048-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 513.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 513	A-AFFY-44	P-MTAB-1068	NCI-H1048_SS474806_HG-U133_Plus_2_HCHP-225916_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI-H1048_SS474806_HG-U133_Plus_2_HCHP-225916_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Myeloid Leukemia	NCI Thesaurus	NCIH1048	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1048 - Replicate 2	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Myeloid Leukemia	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5853	P-MTAB-1063	NCIH1048 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1048-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 514.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 514	A-AFFY-44	P-MTAB-1068	NCI-H1048_SS474807_HG-U133_Plus_2_HCHP-225917_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI-H1048_SS474807_HG-U133_Plus_2_HCHP-225917_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Myeloid Leukemia	NCI Thesaurus	NCIH1048	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1092 - Replicate 3	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Small Cell Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5855	P-MTAB-1063	NCIH1092 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1092-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 515.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 515	A-AFFY-44	P-MTAB-1068	NCI-H1092_SS474809_HG-U133_Plus_2_HCHP-225918_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI-H1092_SS474809_HG-U133_Plus_2_HCHP-225918_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Small Cell Lung Carcinoma	NCI Thesaurus	NCIH1092	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1092 - Replicate 1	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Small Cell Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5855	P-MTAB-1063	NCIH1092 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1092-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 516.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 516	A-AFFY-44	P-MTAB-1068	NCI-H1092_SS474810_HG-U133_Plus_2_HCHP-225919_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI-H1092_SS474810_HG-U133_Plus_2_HCHP-225919_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Small Cell Lung Carcinoma	NCI Thesaurus	NCIH1092	ICDO: 34	ATCC	Lung	NCI Thesaurus
NCIH1092 - Replicate 2	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Small Cell Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-5855	P-MTAB-1063	NCIH1092 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	NCIH1092-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 517.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 517	A-AFFY-44	P-MTAB-1068	NCI-H1092_SS474811_HG-U133_Plus_2_HCHP-225920_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.13.zip	P-MTAB-1069	NCI-H1092_SS474811_HG-U133_Plus_2_HCHP-225920_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.2.zip	Small Cell Lung Carcinoma	NCI Thesaurus	NCIH1092	ICDO: 34	ATCC	Lung	NCI Thesaurus
